-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
triton_red_fused__log_softmax__to_copy_div_mul_prepa...         0.00%       0.000us         0.00%       0.000us       0.000us     705.170ms         0.80%     705.170ms       2.204ms           0 B           0 B           0 B           0 B           320  
triton_poi_fused__scaled_mm__to_copy_add_clamp_clone...         0.06%      84.076ms         0.57%     773.946ms      65.367us     692.086ms         0.78%     692.086ms      58.453us           0 B           0 B           0 B           0 B         11840  
triton_poi_fused__scaled_mm__to_copy_add_clamp_clone...         0.00%       0.000us         0.00%       0.000us       0.000us     692.086ms         0.78%     692.086ms      58.453us           0 B           0 B           0 B           0 B         11840  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     681.215ms         0.77%     681.215ms     354.799us           0 B           0 B           0 B           0 B          1920  
triton_per_fused__to_copy_abs_add_max_slice_backward...         0.07%     101.405ms         0.58%     790.112ms      51.440us     664.286ms         0.75%     664.286ms      43.248us           0 B           0 B           0 B           0 B         15360  
triton_per_fused__to_copy_abs_add_max_slice_backward...         0.00%       0.000us         0.00%       0.000us       0.000us     664.286ms         0.75%     664.286ms      43.248us           0 B           0 B           0 B           0 B         15360  
triton_poi_fused__scaled_mm__to_copy_add_clamp_mul_s...         0.05%      64.354ms         0.07%      97.409ms      12.683us     650.016ms         0.73%     650.016ms      84.638us           0 B           0 B           0 B           0 B          7680  
triton_poi_fused__scaled_mm__to_copy_add_clamp_mul_s...         0.00%       0.000us         0.00%       0.000us       0.000us     650.016ms         0.73%     650.016ms      84.638us           0 B           0 B           0 B           0 B          7680  
triton_poi_fused__flash_attn_backward__scaled_mm__to...         0.03%      37.542ms         0.06%      75.890ms      19.763us     613.641ms         0.69%     613.641ms     159.802us           0 B           0 B           0 B           0 B          3840  
triton_poi_fused__flash_attn_backward__scaled_mm__to...         0.00%       0.000us         0.00%       0.000us       0.000us     613.641ms         0.69%     613.641ms     159.802us           0 B           0 B           0 B           0 B          3840  
triton_red_fused__to_copy_abs_clamp_max_mul_reciproc...         0.11%     152.029ms         0.75%        1.019s      44.226us     588.709ms         0.67%     588.709ms      25.552us           0 B           0 B           0 B           0 B         23040  
triton_red_fused__to_copy_abs_clamp_max_mul_reciproc...         0.00%       0.000us         0.00%       0.000us       0.000us     588.709ms         0.67%     588.709ms      25.552us           0 B           0 B           0 B           0 B         23040  
triton_poi_fused__scaled_mm__to_copy__unsafe_view_cl...         0.03%      37.104ms         0.08%     111.680ms      29.083us     579.478ms         0.66%     579.478ms     150.906us           0 B           0 B           0 B           0 B          3840  
triton_poi_fused__scaled_mm__to_copy__unsafe_view_cl...         0.00%       0.000us         0.00%       0.000us       0.000us     579.478ms         0.66%     579.478ms     150.906us           0 B           0 B           0 B           0 B          3840  
                                     record_param_comms         0.02%      29.955ms         0.03%      42.789ms      52.181us     568.134ms         0.64%     568.134ms     692.846us           0 B           0 B    -134.16 GB    -134.16 GB           820  
triton_per_fused__flash_attn_backward_add_clamp_min_...         0.03%      39.862ms         0.15%     203.586ms      53.017us     509.553ms         0.58%     509.553ms     132.696us           0 B           0 B           0 B           0 B          3840  
triton_per_fused__flash_attn_backward_add_clamp_min_...         0.00%       0.000us         0.00%       0.000us       0.000us     509.553ms         0.58%     509.553ms     132.696us           0 B           0 B           0 B           0 B          3840  
triton_per_fused__unsafe_view_add_embedding_linalg_v...         0.03%      39.840ms         0.04%      60.261ms      15.693us     456.011ms         0.52%     456.130ms     118.784us           0 B           0 B           0 B           0 B          3840  
triton_per_fused__unsafe_view_add_embedding_linalg_v...         0.00%       0.000us         0.00%       0.000us       0.000us     456.011ms         0.52%     456.011ms     118.753us           0 B           0 B           0 B           0 B          3840  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_vie...         0.04%      58.445ms         0.07%      92.453ms      11.557us     430.380ms         0.49%     430.380ms      53.798us           0 B           0 B           0 B           0 B          8000  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_vie...         0.00%       0.000us         0.00%       0.000us       0.000us     430.380ms         0.49%     430.380ms      53.798us           0 B           0 B           0 B           0 B          8000  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.04%      50.419ms         0.89%        1.216s     152.010us     422.293ms         0.48%     422.293ms      52.787us           0 B           0 B           0 B           0 B          8000  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.00%       0.000us         0.00%       0.000us       0.000us     422.293ms         0.48%     422.293ms      52.787us           0 B           0 B           0 B           0 B          8000  
    triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_30         0.02%      28.818ms         0.03%      44.155ms      12.544us     410.850ms         0.46%     410.850ms     116.719us           0 B           0 B           0 B           0 B          3520  
    triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_30         0.00%       0.000us         0.00%       0.000us       0.000us     410.850ms         0.46%     410.850ms     116.719us           0 B           0 B           0 B           0 B          3520  
                                              aten::bmm         0.01%      15.087ms         0.02%      25.640ms      21.366us     403.984ms         0.46%     404.110ms     336.759us           0 B           0 B           0 B           0 B          1200  
           triton_poi_fused_embedding_dense_backward_32         0.02%      25.849ms         0.29%     393.448ms      94.579us     402.511ms         0.45%     402.511ms      96.757us           0 B           0 B           0 B           0 B          4160  
           triton_poi_fused_embedding_dense_backward_32         0.00%       0.000us         0.00%       0.000us       0.000us     402.511ms         0.45%     402.511ms      96.757us           0 B           0 B           0 B           0 B          4160  
triton_per_fused_add_clamp_min_div_expand_mul_neg_su...         0.03%      37.722ms         0.20%     279.194ms      72.707us     402.064ms         0.45%     402.064ms     104.704us           0 B           0 B           0 B           0 B          3840  
triton_per_fused_add_clamp_min_div_expand_mul_neg_su...         0.00%       0.000us         0.00%       0.000us       0.000us     402.064ms         0.45%     402.064ms     104.704us           0 B           0 B           0 B           0 B          3840  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     386.545ms         0.44%     386.545ms      99.114us           0 B           0 B           0 B           0 B          3900  
triton_per_fused__to_copy_abs_add_clamp_min_div_expa...         0.04%      50.883ms         0.05%      73.847ms      19.231us     373.403ms         0.42%     373.501ms      97.266us           0 B           0 B           0 B           0 B          3840  
triton_per_fused__to_copy_abs_add_clamp_min_div_expa...         0.00%       0.000us         0.00%       0.000us       0.000us     373.403ms         0.42%     373.403ms      97.240us           0 B           0 B           0 B           0 B          3840  
triton_per_fused__to_copy_abs_add_clamp_min_div_expa...         0.04%      48.964ms         0.05%      69.260ms      18.037us     368.968ms         0.42%     368.968ms      96.085us           0 B           0 B           0 B           0 B          3840  
triton_per_fused__to_copy_abs_add_clamp_min_div_expa...         0.00%       0.000us         0.00%       0.000us       0.000us     368.968ms         0.42%     368.968ms      96.085us           0 B           0 B           0 B           0 B          3840  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.02%      28.613ms         0.30%     407.369ms     106.086us     330.377ms         0.37%     330.377ms      86.036us           0 B           0 B           0 B           0 B          3840  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.00%       0.000us         0.00%       0.000us       0.000us     330.377ms         0.37%     330.377ms      86.036us           0 B           0 B           0 B           0 B          3840  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_recip...         0.00%       0.000us         0.00%       0.000us       0.000us     325.904ms         0.37%     325.904ms      84.871us           0 B           0 B           0 B           0 B          3840  
